company,location,dates,job-title,summary,pros,cons,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,language,cleaned_pros,cleaned_cons,sentiment_label
google,none," Dec 2, 2018",Current Employee - Anonymous Employee,Great company to work for,I love Google a lot,Some things are not to great,none,5.0,5.0,5.0,5.0,5.0,5.0,0,es,i love google lot,some thing are not to great,POS
google,"Carnegie, PA"," Sep 24, 2018","Former Employee - Director of Developmental Sales &amp, Marketing",Director of Developmental Sales & Marketing,Possibly a growth company but financial problems create much uncertainty,"I was hired through an Agency as a contract employee for 90 days, then offered a full-time position. This position lasted all of 24 days, then I was let go due to financial problems at the company. To make matters worse, I was told that I would receive severance on the forms I asked to sign. The company has reneged on that. I witnessed a parade of hiring/firing due to the lack of any business acumen, very poor communication and no evidence of a positive culture.","Go into another business. The company Owner does not have the business maturity nor ethics to employ others, and make decisions that impact people's lives and livelihood. It is a revolving door where people are treated with very little respect",1.0,none,none,none,none,none,8,es,possibly growth company but financial problem create much uncertainty,i wa hired through an agency a contract employee for day then offered fulltime position this position lasted all of day then i wa let go due to financial problem at the company to make matter worse i wa told that i would receive severance on the form i asked to sign the company reneged on that i witnessed parade of hiringfiring due to the lack of any business acumen very poor communication and evidence of positive culture,NEG
google,none," Aug 19, 2018",Former Employee - Anonymous Employee,Great place to work,Has a great company atmosphere,I can not think of any!,none,5.0,4.0,5.0,5.0,5.0,5.0,0,es,great company atmosphere,i can not think of any,POS
google,none," Apr 28, 2018",Current Employee - Anonymous Employee,Management,Good benefits great people learn a lot,long hours hard to move up,none,5.0,none,none,none,none,none,0,es,good benefit great people learn lot,long hour hard to move up,POS
google,none," Apr 25, 2018",Current Employee - Anonymous Employee,Great place to work,"Great culture, free food. Can't really beat those two as a combination. Excellent career growth opportunities","Like every company, has some bureaucracy, but handles it well in the end. Rapid hiring pace is somewhat damaging the culture.",Make sure you keep a hold on what makes Google Googlely while expanding so rapidly.,5.0,5.0,5.0,5.0,4.0,5.0,0,es,great culture free food cant really beat those two a combination excellent career growth opportunity,like every company some bureaucracy but handle it well in the end rapid hiring pace is somewhat damaging the culture,POS
google,"Los Angeles, CA"," Dec 29, 2017",Current Employee - Helper Assistant,Assists the helpers while they are helping,You can learn a lot from them.,"There aren't any, actually.",More money plz.,4.0,3.0,3.0,4.0,3.0,3.0,0,es,you can learn lot from them,there arent any actually,POS
google,"Mountain View, CA"," Oct 21, 2017",Former Employee - Staff Software Engineer,"Brilliant, fun, exciting way to impact the world",Build things nobody else can build at a scale beyond anything else,Finding good opportunities and chances to build big enough projects to maintain a high rating and get a promotion.,none,5.0,3.0,5.0,5.0,5.0,4.0,0,es,build thing nobody else can build at scale beyond anything else,finding good opportunity and chance to build big enough project to maintain high rating and get promotion,POS
google,none," Oct 4, 2017",Current Employee - Anonymous Employee,Good internship,"Learned a lot, good culture",Some projects for interns aren't very impactful,none,5.0,none,none,none,none,none,0,es,learned lot good culture,some project for intern arent very impactful,POS
google,none," Sep 15, 2017",Current Employee - Anonymous Employee,Operations Specialist,Good job experience. Definitely a resumer builder.,Lack of moving up if you are apart of a small program,none,5.0,5.0,5.0,2.0,2.0,5.0,0,es,good job experience definitely resumer builder,lack of moving up if you are apart of small program,POS
google,none," Aug 30, 2017",Current Employee - Anonymous Employee,Good,- Learned a lot - Nice people - Free food - Office dogs!,Gained a lot of weight :'),none,5.0,5.0,5.0,5.0,5.0,5.0,1,es,learned lot nice people free food office dog,gained lot of weight,POS
google,none," Jun 16, 2017",Former Employee - Anonymous Employee,Account Strategist,Environment was always a blast,Opportunities of growth were too little,none,4.0,3.0,3.0,3.0,3.0,3.0,0,es,environment wa always blast,opportunity of growth were too little,NEU
google,"San Francisco, CA"," Apr 21, 2017",Current Employee - Anonymous Employee,Software engineer,Everybody has a voice.,Hard to convince others,none,5.0,5.0,5.0,4.0,4.0,3.0,0,es,everybody voice,hard to convince others,NEU
google,none," Mar 22, 2017",Former Employee - Anonymous Employee,Developer,"Fun enviorment, You learn a lot while you are there",Maybe the work to life balance could be better but overall it was very good,They are actually really good,5.0,5.0,5.0,5.0,5.0,5.0,0,es,fun enviorment you learn lot while you are there,maybe the work to life balance could be better but overall it wa very good,POS
google,none," Feb 19, 2017",Current Employee - Anonymous Employee,Great experience,smart co-workers transparency (for a large company),sometimes decision making is a bit chaotic,none,5.0,none,none,none,none,none,0,es,smart coworkers transparency for large company,sometimes decision making is bit chaotic,POS
google,none," Feb 6, 2017",Current Employee - Anonymous Employee,sales rep,its a really nice campus,its a lot of work,none,5.0,none,none,none,none,none,0,es,it really nice campus,it lot of work,POS
google,"Mountain View, CA"," Jan 17, 2017",Former Employee - SWE Intern,Very cool environment,"very nice environment, like a college campus","very large company, hard to figure out the big picture",none,5.0,none,none,none,none,none,0,es,very nice environment like college campus,very large company hard to figure out the big picture,POS
google,"Mountain View, CA"," Jan 12, 2017",Current Employee - Software Engineer,It's awesome,They have a good workplace,I dont really see anything bad about this company,none,4.0,4.0,4.0,4.0,5.0,4.0,0,es,they have good workplace,i dont really see anything bad about this company,POS
google,none," Sep 10, 2016",Former Employee - Anonymous Employee,Android tech suport,This was a very good company.,managers seemed to be learning.,none,5.0,3.0,3.0,5.0,4.0,3.0,0,es,this wa very good company,manager seemed to be learning,POS
google,none," Sep 2, 2016",Former Employee - Anonymous Employee,Great place,Great talent. Amazing projects. Making a difference.,Very few if any at all.,Too many distractions. A little more focus will help.,5.0,5.0,5.0,5.0,5.0,5.0,0,es,great talent amazing project making difference,very few if any at all,POS
google,"Austin, TX"," Mar 24, 2016",Current Employee - Google Enterprise,Entry Level Google,Nice perks means a cool environment,Remote office means you are disconnected,none,4.0,none,none,none,none,none,1,es,nice perk mean cool environment,remote office mean you are disconnected,POS
